Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Cluster_5,Cluster_6,Cluster_7,Cluster_8,Cluster_9,Cluster_10,Cluster_11,Cluster_12,Cluster_13,Cluster_14,Cluster_15,WAF
0.08137,15.57971,56.43854,112.84182,169.80409,233.35260,285.41002,333.60747,381.81994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.00376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.12074,37.59132,185.94254,387.68178,554.62658,679.35056,773.40382,815.13736,890.09227,957.56100,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.00626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.16133,63.67893,292.75155,547.53218,782.83226,1016.60563,1220.13031,1387.98117,1521.51325,1636.94467,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.18402,79.17511,340.13084,552.68538,789.05592,917.51869,1100.68549,1308.66542,1434.02755,1718.95474,1888.43479,1968.84000,NaN,NaN,NaN,NaN,1.00
0.11478,30.93049,146.91461,349.58975,685.80794,1138.00305,1401.09854,1765.94340,2052.13592,2361.78964,NaN,NaN,NaN,NaN,NaN,NaN,1.00
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2626.00215,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.00250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.01252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
0.18453,80.47540,405.88532,974.14641,1647.82529,2209.65391,2642.59703,2896.82778,3061.46388,3341.99744,3538.11196,NaN,NaN,NaN,NaN,NaN,1.00
0.00250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00
